=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.03.01 15:28:11 =~=~=~=~=~=~=~=~=~=~=~=
Inicia captura
1	0.01	-0.12	1.03	4.39	4.70	0.98
2	0.01	-0.13	1.03	5.25	4.88	1.04
3	0.01	-0.14	1.03	5.80	4.58	0.92
4	0.01	-0.14	1.02	5.31	4.09	0.92
5	0.01	-0.14	1.02	4.15	3.60	1.04
6	0.01	-0.14	1.02	2.69	2.62	1.16
7	0.03	-0.12	1.02	1.59	1.40	0.79
8	0.03	-0.11	1.02	1.71	0.55	0.18
9	0.03	-0.10	1.03	3.48	-0.24	-0.31
10	0.03	-0.10	1.03	5.55	-0.55	-0.85
11	0.03	-0.12	1.03	7.26	-0.61	-0.79
12	0.02	-0.13	1.02	7.87	-0.12	-0.31
13	0.03	-0.13	1.02	6.96	0.49	0.55
14	0.03	-0.14	1.00	5.62	0.31	0.92
15	0.03	-0.14	1.00	3.48	-0.12	0.73
16	0.03	-0.14	1.00	1.59	-0.92	-0.37
17	0.03	-0.16	1.00	0.24	-1.65	-1.34
18	0.02	-0.22	1.00	-2.32	-2.01	-1.10
19	0.03	-0.28	1.00	-10.25	-1.95	0.24
20	0.03	-0.33	1.00	-25.02	-2.20	2.01
21	0.02	-0.38	1.00	-46.02	-2.69	3.66
22	0.02	-0.40	1.01	-71.35	-2.75	5.68
23	0.05	-0.34	1.00	-99.73	-1.34	6.65
24	0.06	-0.29	1.00	-126.22	-0.55	3.66
25	0.06	-0.19	1.01	-146.30	-1.34	-1.89
26	0.05	-0.11	1.00	-158.08	-2.87	-7.75
27	0.02	-0.10	0.97	-164.25	-4.52	-11.96
28	0.01	-0.07	0.94	-169.62	-6.59	-12.94
29	0.02	-0.10	0.85	-176.94	-9.09	-10.25
30	-0.00	-0.14	0.78	-192.32	-11.11	-5.43
31	-0.02	-0.09	0.76	-216.86	-14.89	-0.18
32	-0.03	-0.04	0.71	-243.71	-22.64	5.55
33	-0.08	-0.07	0.63	-272.03	-31.98	11.17
34	-0.12	0.01	0.54	-303.83	-39.43	15.20
35	-0.17	0.16	0.56	-329.65	-42.05	16.05
36	-0.14	0.37	0.62	-343.99	-41.14	14.65
37	-0.11	0.50	0.60	-345.89	-34.24	10.19
38	-0.03	0.52	0.58	-344.67	-22.71	4.94
39	0.05	0.56	0.53	-352.54	-14.40	0.85
40	0.14	0.62	0.46	-370.67	-9.64	-2.14
41	0.15	0.59	0.39	-394.96	-8.79	-3.30
42	0.11	0.56	0.23	-431.34	-11.84	-0.79
43	0.03	0.48	0.06	-482.30	-14.16	2.81
44	-0.11	0.46	-0.15	-543.88	-9.64	9.95
45	-0.18	0.78	-0.31	-603.33	2.56	22.89
46	-0.17	1.19	-0.39	-639.47	18.55	36.74
47	-0.10	1.38	-0.43	-645.32	31.13	48.65
48	-0.09	1.22	-0.50	-635.13	32.23	58.04
49	-0.10	1.11	-0.61	-626.77	26.18	67.57
50	-0.09	1.17	-0.72	-618.53	14.83	74.77
51	-0.07	1.19	-0.78	-594.06	-1.89	76.35
52	-0.05	1.01	-0.84	-551.70	-17.21	74.46
53	0.11	1.42	-0.75	-513.31	-47.61	77.58
54	0.17	1.58	-0.70	-437.32	-88.32	73.61
55	0.05	1.43	-0.62	-323.43	-124.69	79.22
56	-0.15	1.12	-0.67	-215.21	-143.68	98.14
57	-0.28	0.85	-0.68	-148.44	-142.09	126.04
58	-0.36	0.73	-0.67	-121.28	-122.92	141.60
59	-0.42	0.73	-0.70	-118.96	-95.15	140.20
60	-0.37	0.87	-0.77	-124.63	-63.17	125.49
61	-0.28	0.89	-0.79	-122.31	-34.12	96.25
62	-0.21	0.77	-0.76	-111.02	-16.30	66.16
63	-0.18	0.58	-0.72	-99.73	-10.19	45.90
64	-0.21	0.42	-0.69	-97.66	-12.45	38.21
65	-0.22	0.50	-0.64	-107.73	-13.92	30.09
66	-0.27	0.60	-0.68	-112.79	-14.65	20.20
67	-0.33	0.64	-0.70	-105.29	-12.39	15.63
68	-0.28	0.74	-0.71	-97.72	-4.46	16.36
69	-0.19	0.75	-0.75	-83.68	-0.43	16.48
70	-0.16	0.72	-0.76	-66.77	-2.08	16.54
71	-0.16	0.71	-0.80	-52.80	-5.86	14.83
72	-0.16	0.70	-0.80	-42.30	-10.44	9.40
73	-0.18	0.73	-0.83	-33.20	-14.22	-0.61
74	-0.23	0.58	-0.86	-21.48	-16.66	-12.33
75	-0.21	0.57	-0.84	-21.36	-13.79	-18.74
76	-0.21	0.74	-0.85	-27.71	-8.91	-19.90
77	-0.28	0.67	-0.85	-17.76	-3.78	-18.55
78	-0.26	0.62	-0.82	-9.22	4.76	-16.91
79	-0.20	0.70	-0.80	-7.14	14.34	-18.01
80	-0.19	0.79	-0.80	-0.73	21.36	-18.25
81	-0.16	0.83	-0.79	12.82	23.93	-16.17
82	-0.14	0.80	-0.78	28.26	22.71	-14.83
83	-0.15	0.77	-0.76	38.88	19.90	-13.55
84	-0.12	0.78	-0.76	43.21	16.17	-12.63
85	-0.11	0.83	-0.75	47.12	11.05	-11.90
86	-0.14	0.85	-0.74	56.58	5.55	-10.74
87	-0.14	0.84	-0.74	71.90	1.46	-11.54
88	-0.11	0.92	-0.75	91.37	-0.73	-13.67
89	-0.09	0.96	-0.76	120.54	-1.46	-16.60
90	-0.10	0.93	-0.76	157.53	-2.20	-21.24
91	-0.09	0.89	-0.75	191.16	-1.95	-22.83
92	-0.12	0.81	-0.73	217.59	-1.40	-23.38
93	-0.14	0.80	-0.70	233.70	0.92	-25.63
94	-0.13	0.83	-0.65	242.13	3.23	-29.97
95	-0.11	0.93	-0.61	248.11	4.39	-34.24
96	-0.12	1.09	-0.57	260.13	3.60	-38.94
97	-0.17	1.22	-0.54	284.30	4.33	-43.70
98	-0.20	1.20	-0.52	320.62	8.54	-47.61
99	-0.23	1.00	-0.56	356.02	15.32	-50.29
100	-0.22	0.76	-0.54	370.91	24.54	-46.63
101	-0.20	0.66	-0.48	357.79	36.38	-38.88
102	-0.15	0.70	-0.41	330.20	44.62	-32.90
103	-0.11	0.74	-0.33	304.26	46.63	-28.26
104	-0.09	0.92	-0.26	286.44	44.43	-24.29
105	-0.10	1.16	-0.19	285.71	39.49	-22.34
106	-0.15	1.26	-0.17	307.86	35.34	-22.58
107	-0.13	1.25	-0.19	343.63	36.25	-21.24
108	-0.05	1.08	-0.19	374.02	38.15	-15.93
109	-0.02	0.89	-0.11	385.62	34.24	-5.62
110	-0.06	0.85	0.02	378.30	30.15	4.39
111	-0.13	0.95	0.16	366.15	27.65	10.50
112	-0.16	1.13	0.26	365.42	24.90	16.24
113	-0.15	1.25	0.29	385.38	22.77	21.73
114	-0.15	1.19	0.25	421.81	23.07	25.09
115	-0.17	0.91	0.25	453.92	25.94	26.12
116	-0.14	0.62	0.26	465.09	31.86	26.61
117	-0.11	0.44	0.34	447.14	38.33	24.11
118	-0.09	0.29	0.40	411.68	40.53	18.74
119	-0.08	0.25	0.51	369.08	36.68	13.12
120	-0.13	0.29	0.63	331.91	28.81	10.19
121	-0.17	0.43	0.72	310.67	19.35	13.49
122	-0.16	0.45	0.75	308.41	11.78	20.87
123	-0.14	0.37	0.79	313.78	8.06	29.60
124	-0.11	0.30	0.83	316.77	10.68	35.34
125	-0.15	0.12	0.87	311.71	17.27	34.36
126	-0.17	-0.08	0.91	290.10	25.76	33.14
127	-0.16	-0.16	0.93	252.75	36.13	31.92
128	-0.12	-0.09	0.92	211.06	46.20	27.34
129	-0.11	0.02	0.91	176.88	53.59	23.19
130	-0.07	0.05	0.90	157.17	56.58	22.89
131	-0.03	0.04	0.88	147.52	54.69	26.18
132	0.02	0.06	0.89	140.75	49.01	32.04
133	0.07	0.07	0.94	133.91	39.49	36.68
134	0.10	0.09	0.97	129.27	26.37	38.39
135	0.10	0.05	1.00	128.05	12.45	35.58
136	0.04	-0.02	1.01	126.04	1.40	28.93
137	-0.01	-0.08	1.02	120.00	-3.05	23.19
138	-0.03	-0.10	1.02	109.31	-0.79	17.94
139	-0.03	-0.09	1.02	97.47	5.13	14.71
140	-0.03	-0.08	1.04	86.91	11.90	12.39
141	0.00	-0.03	1.06	79.41	17.27	9.52
142	0.03	-0.01	1.07	77.76	19.84	5.86
143	0.04	-0.10	1.06	80.26	18.68	2.50
144	0.05	-0.17	1.05	77.21	16.05	2.08
145	0.10	-0.16	1.02	67.08	12.45	4.70
146	0.14	-0.05	1.01	56.34	4.09	5.55
147	0.12	-0.08	1.00	53.71	-7.93	5.43
148	0.08	-0.11	0.98	54.63	-19.78	5.25
149	0.04	-0.17	0.97	53.65	-28.93	5.31
150	0.00	-0.22	0.96	49.68	-34.36	5.74
