-0.10;-0.15;1.01;7.75;3.97;8.06
-0.10;-0.16;1.02;7.93;2.26;6.90
-0.10;-0.16;1.02;7.39;0.67;4.76
-0.10;-0.16;1.03;5.68;-0.31;1.89
-0.11;-0.14;1.03;4.27;-0.37;-1.22
-0.12;-0.13;1.04;3.48;0.55;-3.42
-0.14;-0.13;1.03;2.87;1.53;-5.13
-0.15;-0.11;1.04;1.89;2.81;-7.75
-0.16;-0.09;1.03;0.67;4.15;-10.62
-0.16;-0.07;1.04;0.12;5.19;-12.63
-0.14;-0.05;1.04;0.31;5.55;-14.34
-0.14;-0.04;1.05;0.73;5.55;-15.63
-0.13;-0.03;1.05;0.37;4.52;-15.26
-0.13;-0.01;1.05;-1.16;2.56;-13.24
-0.12;0.01;1.05;-4.09;0.31;-11.35
-0.14;0.03;1.05;-7.81;-1.46;-10.62
-0.15;0.06;1.04;-10.56;-2.14;-8.48
-0.16;0.09;1.04;-10.80;-1.89;-6.84
-0.15;0.11;1.04;-8.91;-1.77;-5.98
-0.15;0.12;1.03;-5.62;-1.53;-6.77
-0.16;0.11;1.03;-1.04;-1.10;-9.22
-0.16;0.10;1.02;2.62;-0.31;-10.80
-0.17;0.08;1.02;5.37;0.18;-10.62
-0.16;0.06;1.01;7.14;0.61;-9.40
-0.18;0.05;1.00;7.51;0.73;-9.09
-0.17;0.05;1.01;6.41;1.40;-8.06
-0.17;0.03;1.00;6.04;1.10;-6.71
-0.18;0.02;1.00;5.74;0.92;-4.94
-0.18;0.02;1.00;4.70;0.92;-3.05
-0.17;0.02;1.00;3.48;0.85;-1.46
-0.17;0.02;1.01;2.56;0.61;0.06
-0.18;0.02;1.01;2.08;0.37;1.53
-0.17;0.03;1.01;1.53;-0.43;2.56
-0.17;0.02;1.01;1.71;-1.16;2.99
-0.17;0.02;1.02;2.08;-1.34;3.60
-0.17;0.02;1.02;2.69;-1.22;4.09
-0.15;0.02;1.02;3.11;-0.55;4.33
-0.14;0.02;1.03;3.30;0.31;4.15
-0.13;0.04;1.03;3.54;0.92;3.48
-0.12;0.05;1.03;3.85;0.92;2.32
-0.13;0.06;1.03;4.58;0.85;0.79
-0.14;0.08;1.03;4.88;0.85;-0.12
-0.14;0.10;1.02;4.58;1.40;-0.31
-0.15;0.11;1.01;5.19;1.71;-0.85
-0.16;0.13;1.01;6.04;1.77;-1.59
-0.16;0.15;1.00;7.39;1.46;-2.81
-0.17;0.16;1.00;9.77;0.92;-3.54
-0.19;0.15;0.99;13.12;0.37;-3.85
-0.21;0.14;1.00;15.63;0.31;-3.72
-0.19;0.17;0.99;15.75;-0.49;-1.34
-0.21;0.15;0.99;15.81;-1.40;1.89
-0.23;0.17;0.99;12.33;-1.59;5.31
-0.24;0.19;0.99;8.42;-1.65;8.97
-0.24;0.21;0.99;4.70;-1.77;13.43
-0.23;0.23;0.98;2.62;-2.14;17.09
-0.23;0.25;0.97;1.95;-2.20;20.02
-0.23;0.26;0.96;2.26;-2.69;22.09
-0.22;0.26;0.95;3.72;-3.54;22.95
-0.22;0.26;0.94;6.59;-4.94;23.25
-0.23;0.22;0.94;10.68;-6.10;24.29
-0.24;0.18;0.95;13.61;-6.04;26.92
-0.23;0.15;0.96;15.81;-5.00;30.33
-0.22;0.09;0.96;16.54;-2.26;35.40
-0.21;0.04;0.99;14.71;1.71;41.02
-0.19;0.00;1.01;11.47;6.77;46.81
-0.16;-0.03;1.02;7.26;12.15;53.59
-0.14;-0.05;1.03;2.87;16.11;59.27
-0.12;-0.06;1.04;-1.53;18.68;63.54
-0.11;-0.06;1.04;-5.00;19.59;66.47
-0.10;-0.04;1.04;-7.14;18.86;68.48
-0.08;-0.03;1.05;-7.02;15.93;69.34
-0.08;-0.04;1.05;-4.82;11.54;69.21
-0.07;-0.06;1.07;-1.34;7.14;67.99
-0.07;-0.11;1.08;2.69;3.60;65.37
-0.06;-0.15;1.09;5.49;1.65;62.87
-0.05;-0.20;1.10;6.59;0.73;60.67
-0.04;-0.23;1.10;6.04;1.34;59.39
-0.02;-0.24;1.10;4.94;1.40;57.50
-0.02;-0.28;1.09;4.09;1.53;54.93
-0.01;-0.29;1.09;2.75;2.14;52.06
0.00;-0.32;1.10;1.46;2.75;49.07
0.01;-0.36;1.11;0.61;3.23;46.88
0.03;-0.38;1.11;-0.67;3.85;44.80
0.04;-0.40;1.10;-3.11;4.21;42.24
0.05;-0.40;1.09;-5.74;3.78;38.64
0.05;-0.38;1.08;-7.51;2.44;34.24
0.05;-0.35;1.06;-8.24;0.55;28.44
0.04;-0.33;1.05;-6.96;-1.95;22.71
0.04;-0.32;1.04;-4.15;-4.88;16.85
0.02;-0.31;1.02;-0.92;-7.93;9.46
0.01;-0.32;1.01;1.46;-9.58;1.71
0.00;-0.31;1.00;2.44;-10.25;-4.52
-0.01;-0.29;0.99;3.36;-10.07;-9.95
-0.02;-0.28;0.99;4.52;-9.22;-14.77
-0.03;-0.28;0.99;5.92;-7.93;-18.68
-0.04;-0.29;0.99;6.77;-6.04;-21.42
-0.04;-0.29;1.00;6.35;-3.91;-23.32
-0.03;-0.29;1.01;4.03;-0.98;-25.09
-0.03;-0.28;1.01;1.65;2.20;-27.34
-0.02;-0.24;1.01;-0.67;4.64;-30.40
-0.02;-0.20;1.02;-1.95;6.47;-34.61
-0.01;-0.17;1.02;-1.10;6.53;-38.94
-0.01;-0.16;1.03;0.98;5.07;-44.43
-0.02;-0.17;1.04;3.60;3.60;-49.13
-0.02;-0.17;1.05;4.33;2.50;-52.00
-0.02;-0.18;1.06;3.97;1.46;-55.54
-0.04;-0.17;1.06;2.50;0.49;-59.27
-0.04;-0.17;1.06;0.55;0.37;-61.52
-0.08;-0.14;1.04;-1.04;-1.59;-64.82
-0.13;-0.15;1.03;-1.95;-2.44;-66.71
-0.14;-0.16;1.02;-3.48;-1.83;-65.49
-0.14;-0.13;1.02;-4.82;-2.20;-63.35
-0.13;-0.12;1.03;-4.76;-3.36;-63.05
-0.14;-0.11;1.03;-4.39;-2.81;-63.60
-0.12;-0.07;1.03;-4.70;-1.65;-63.42
-0.13;-0.03;1.02;-4.46;-1.95;-64.03
-0.15;-0.01;1.02;-4.46;-2.20;-66.04
-0.18;0.02;1.02;-5.25;-1.83;-68.79
-0.19;0.07;1.02;-5.92;-0.37;-69.03
-0.21;0.07;1.02;-4.21;0.55;-69.15
-0.21;0.07;1.02;-2.62;1.83;-69.15
-0.22;0.05;1.02;-2.20;2.26;-70.37
-0.22;0.05;1.02;-4.52;2.99;-70.25
-0.21;0.09;1.01;-9.09;2.99;-68.97
-0.20;0.15;1.01;-12.94;1.04;-68.36
-0.18;0.22;1.00;-14.47;-1.59;-68.36
-0.18;0.28;0.99;-13.73;-4.52;-68.85
-0.17;0.31;0.99;-9.83;-6.29;-69.89
-0.20;0.30;0.99;-4.52;-8.24;-71.41
-0.20;0.30;1.00;-1.83;-7.45;-70.43
-0.19;0.29;1.00;-0.43;-6.59;-66.77
-0.18;0.30;1.01;-0.55;-5.98;-63.84
-0.18;0.31;1.00;-1.46;-5.43;-61.16
-0.17;0.34;0.99;-2.26;-4.88;-57.98
-0.16;0.38;0.98;-2.99;-4.52;-54.69
-0.14;0.42;0.97;-2.62;-4.64;-51.39
-0.15;0.46;0.96;-1.10;-5.07;-49.50
-0.15;0.49;0.95;1.28;-5.55;-47.73
-0.15;0.50;0.95;4.46;-5.68;-44.98
-0.14;0.50;0.95;8.67;-5.74;-42.05
-0.17;0.47;0.95;13.06;-5.86;-38.76
-0.17;0.44;0.96;15.14;-4.94;-33.02
-0.16;0.42;0.96;14.34;-3.91;-25.15
-0.17;0.39;0.96;11.41;-2.93;-17.64
-0.16;0.38;0.96;7.26;-2.56;-9.40
-0.16;0.37;0.95;3.48;-2.08;-2.81
-0.17;0.36;0.96;0.92;-2.62;3.85
-0.18;0.34;0.96;-0.06;-3.11;11.35
-0.18;0.31;0.96;-0.18;-3.30;18.49
-0.18;0.27;0.98;-0.43;-2.69;24.66
-0.17;0.25;0.99;-0.79;-1.40;29.72
-0.16;0.24;1.01;-0.43;0.49;33.57
-0.14;0.22;1.02;0.92;2.44;36.07
